Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14,3143.000000,3190.469971,3126.000000,3156.969971,3156.969971,4155794
2020-12-15,3181.010010,3188.500000,3130.489990,3165.120117,3165.120117,3323686
2020-12-16,3176.010010,3247.000000,3163.679932,3240.959961,3240.959961,4427616
2020-12-17,3250.000000,3263.510010,3221.000000,3236.080078,3236.080078,3474347
2020-12-18,3243.989990,3249.419922,3171.600098,3201.649902,3201.649902,5995713
2020-12-21,3200.010010,3226.966553,3166.000000,3206.179932,3206.179932,3836846
2020-12-22,3202.843506,3222.000000,3180.080078,3206.520020,3206.520020,2381781
2020-12-23,3205.000000,3210.129883,3184.169922,3185.270020,3185.270020,2093787
2020-12-24,3193.899902,3202.000000,3169.000000,3172.689941,3172.689941,1451917
2020-12-28,3194.000000,3304.000000,3172.689941,3283.959961,3283.959961,5686787
2020-12-29,3309.939941,3350.649902,3281.222900,3322.000000,3322.000000,4872933
2020-12-30,3341.000000,3342.100098,3282.469971,3285.850098,3285.850098,3209310
2020-12-31,3275.000000,3282.921875,3241.199951,3256.929932,3256.929932,2957206
2021-01-04,3270.000000,3272.000000,3144.020020,3186.629883,3186.629883,4411449
2021-01-05,3166.010010,3223.379883,3165.060059,3218.510010,3218.510010,2655548
2021-01-06,3146.479980,3197.509033,3131.159912,3138.379883,3138.379883,4394815
2021-01-07,3157.000000,3208.541992,3155.000000,3162.159912,3162.159912,3514545
2021-01-08,3180.000000,3190.639893,3142.199951,3182.699951,3182.699951,3537744
2021-01-11,3148.010010,3156.384033,3110.000000,3114.209961,3114.209961,3669095
2021-01-12,3120.000000,3142.141846,3086.000000,3120.830078,3120.830078,3514582
2021-01-13,3128.439941,3189.949951,3122.080078,3165.889893,3165.889893,3321244
2021-01-14,3167.520020,3178.000000,3120.590088,3127.469971,3127.469971,3070919
2021-01-15,3123.020020,3142.544922,3095.169922,3104.250000,3104.250000,4243995
2021-01-19,3107.000000,3145.000000,3096.000000,3120.760010,3120.760010,3305142
2021-01-20,3181.989990,3279.800049,3175.000000,3263.379883,3263.379883,5309835
2021-01-21,3293.000000,3348.550049,3289.567383,3306.989990,3306.989990,4945051
2021-01-22,3304.310059,3321.909912,3283.164307,3292.229980,3292.229980,2821914
2021-01-25,3328.500000,3363.889893,3243.146240,3294.000000,3294.000000,3749758
2021-01-26,3296.355957,3338.000000,3282.870117,3326.129883,3326.129883,2955235
2021-01-27,3341.489990,3346.520020,3207.080078,3232.580078,3232.580078,4660158
